PLID,VID,Length,Dim
121,121,6.75,0.400000005960464
122,122,6.75,0.400000005960464
123,123,6.75,0.400000005960464
124,124,6.75,0.400000005960464
125,125,6.75,0.400000005960464
126,126,6.75,0.400000005960464
127,127,6.75,0.400000005960464
128,128,6.75,0.400000005960464
129,129,6.75,0.400000005960464
130,130,6.75,0.400000005960464
131,131,6.75,0.400000005960464
132,132,6.75,0.400000005960464
133,133,6.75,0.400000005960464
134,134,6.75,0.400000005960464
135,135,6.75,0.400000005960464
136,136,6.75,0.400000005960464
137,137,6.75,0.400000005960464
138,138,6.75,0.400000005960464
139,139,6.75,0.400000005960464
140,140,6.75,0.400000005960464
141,141,6.75,0.400000005960464
142,142,6.75,0.400000005960464
143,143,6.75,0.400000005960464
144,144,6.75,0.400000005960464
145,145,6.75,0.400000005960464
146,146,6.75,0.400000005960464
147,147,6.75,0.400000005960464
148,148,6.75,0.400000005960464
149,149,6.75,0.400000005960464
150,150,6.75,0.400000005960464
151,151,6.75,0.400000005960464
152,152,6.75,0.400000005960464
153,153,6.75,0.400000005960464
154,154,6.75,0.400000005960464
155,155,6.75,0.400000005960464
156,156,6.75,0.400000005960464
157,157,6.75,0.400000005960464
158,158,6.75,0.400000005960464
159,159,6.75,0.400000005960464
160,160,6.75,0.400000005960464
161,161,6.75,0.400000005960464
162,162,6.75,0.400000005960464
163,163,6.75,0.400000005960464
164,164,6.75,0.400000005960464
165,165,6.75,0.400000005960464
166,166,6.75,0.400000005960464
167,167,6.75,0.400000005960464
168,168,6.75,0.400000005960464
169,169,6.75,0.400000005960464
170,170,6.75,0.400000005960464
171,171,6.75,0.400000005960464
172,172,6.75,0.400000005960464
173,173,6.75,0.400000005960464
174,174,6.75,0.400000005960464
175,175,6.75,0.400000005960464
176,176,6.75,0.400000005960464
177,177,6.75,0.400000005960464
178,178,6.75,0.400000005960464
179,179,6.75,0.400000005960464
180,180,6.75,0.400000005960464
181,181,6.75,0.400000005960464
182,182,6.75,0.400000005960464
183,183,6.75,0.400000005960464
184,184,6.75,0.400000005960464
185,185,6.75,0.400000005960464
186,186,6.75,0.400000005960464
187,187,6.75,0.400000005960464
188,188,6.75,0.400000005960464
189,189,6.75,0.400000005960464
190,190,6.75,0.400000005960464
191,191,6.75,0.400000005960464
192,192,6.75,0.400000005960464
193,193,6.75,0.400000005960464
194,194,6.75,0.400000005960464
195,195,6.75,0.400000005960464
196,196,6.75,0.400000005960464
197,197,6.75,0.400000005960464
198,198,6.75,0.400000005960464
199,199,6.75,0.400000005960464
200,200,6.75,0.400000005960464
201,201,6.75,0.400000005960464
202,202,6.75,0.400000005960464
