ID,LID,Width,Color,type,LinkID
154,180,0.15,W,0,759
155,181,0.15,W,0,764
156,182,0.15,W,0,769
157,183,0.15,W,0,750
158,184,0.15,W,0,755
159,185,0.15,W,0,760
160,186,0.15,W,0,765
161,187,0.15,W,0,769
162,193,0.15,W,0,792
163,194,0.15,W,0,788
164,195,0.15,W,0,2907
165,196,0.15,W,0,2903
166,197,0.15,W,0,775
167,198,0.15,W,0,2899
168,199,0.15,W,0,2904
169,200,0.15,W,0,2909
170,201,0.15,W,0,2914
171,202,0.15,W,0,2917
172,208,0.15,W,0,3863
173,209,0.15,W,0,3867
174,210,0.15,W,0,3871
175,211,0.15,W,0,3875
176,212,0.15,W,0,3879
177,213,0.15,W,0,3863
178,214,0.15,W,0,3868
179,215,0.15,W,0,3873
180,216,0.15,W,0,3878
181,217,0.15,W,0,2848
182,223,0.15,W,0,1138
183,224,0.15,W,0,1133
184,225,0.15,W,0,1128
185,226,0.15,W,0,1123
186,227,0.15,W,0,1118
187,228,0.15,W,0,1113
188,235,0.15,Y,0,839
189,236,0.15,Y,0,844
190,237,0.15,Y,0,849
191,238,0.15,Y,0,1123
192,239,0.15,Y,0,1118
193,240,0.15,Y,0,863
194,241,0.15,W,0,839
195,242,0.15,W,0,844
196,243,0.15,W,0,849
197,244,0.15,W,0,324
198,245,0.15,W,0,329
199,246,0.15,W,0,334
200,247,0.15,W,0,309
201,248,0.15,W,0,314
202,249,0.15,W,0,319
203,250,0.15,W,0,324
204,251,0.15,W,0,329
205,252,0.15,W,0,334
206,253,0.15,W,0,1095
207,254,0.15,W,0,887
208,255,0.15,W,0,1086
209,256,0.15,W,0,878
210,257,0.15,W,0,1077
211,258,0.15,W,0,869
212,259,0.15,W,0,869
213,260,0.15,W,0,874
214,261,0.15,W,0,879
215,262,0.15,W,0,884
216,263,0.15,W,0,889
217,264,0.15,W,0,892
218,265,0.15,Y,0,1095
219,266,0.15,Y,0,1091
220,267,0.15,Y,0,1086
221,268,0.15,Y,0,1082
222,269,0.15,Y,0,1077
223,270,0.15,Y,0,1073
224,271,0.15,W,0,896
225,272,0.15,W,0,357
226,273,0.15,W,0,361
227,274,0.15,W,0,366
228,275,0.15,W,0,370
229,276,0.15,W,0,375
230,277,0.15,W,0,352
231,278,0.15,W,0,357
232,279,0.15,W,0,362
233,280,0.15,W,0,367
234,281,0.15,W,0,372
235,282,0.15,W,0,375
236,283,0.15,Y,0,949
237,284,0.15,Y,0,953
238,285,0.15,Y,0,933
239,286,0.15,Y,0,962
240,287,0.15,Y,0,924
241,288,0.15,W,0,924
242,289,0.15,W,0,929
243,290,0.15,W,0,934
244,291,0.15,W,0,939
245,292,0.15,W,0,943
246,293,0.15,W,0,948
247,294,0.15,W,0,954
248,295,0.15,W,0,958
249,296,0.15,W,0,963
250,297,0.15,W,0,967
251,298,0.15,Y,0,997
252,299,0.15,Y,0,992
253,300,0.15,Y,0,987
254,301,0.15,Y,0,982
255,302,0.15,Y,0,977
256,303,0.15,Y,0,972
257,304,0.15,W,0,972
258,305,0.15,W,0,977
259,306,0.15,W,0,982
260,307,0.15,W,0,987
261,308,0.15,W,0,992
262,309,0.15,W,0,997
263,310,0.15,W,0,1004
264,311,0.15,W,0,1009
265,312,0.15,W,0,1014
266,313,0.15,W,0,1019
267,314,0.15,W,0,1024
268,315,0.15,W,0,1028
269,316,0.15,Y,0,1158
270,317,0.15,Y,0,1163
271,318,0.15,Y,0,1168
272,319,0.15,Y,0,1173
273,320,0.15,W,0,1197
274,321,0.15,W,0,1039
275,322,0.15,W,0,1207
276,323,0.15,W,0,1048
277,324,0.15,W,0,1159
278,325,0.15,W,0,1163
279,326,0.15,W,0,1168
280,327,0.15,W,0,1173
281,332,0.15,Y,0,1218
282,333,0.15,Y,0,1222
283,334,0.15,Y,0,1226
284,335,0.15,Y,0,1229
285,336,0.15,W,0,1177
286,337,0.15,W,0,1180
287,338,0.15,W,0,1184
288,339,0.15,W,0,1188
289,340,0.15,W,0,1192
290,345,0.15,Y,0,1277
291,346,0.15,Y,0,1281
292,347,0.15,Y,0,1285
293,348,0.15,Y,0,1289
294,349,0.15,Y,0,1293
295,350,0.15,Y,0,1296
296,351,0.15,Y,0,1299
297,352,0.15,Y,0,1303
298,353,0.15,Y,0,1307
299,354,0.15,W,0,1235
300,355,0.15,W,0,1241
301,356,0.15,W,0,1246
302,357,0.15,W,0,1251
303,358,0.15,W,0,1256
304,359,0.15,W,0,1261
305,360,0.15,W,0,1265
306,361,0.15,W,0,1270
307,362,0.15,W,0,1277
308,363,0.15,W,0,1282
309,364,0.15,W,0,1287
310,365,0.15,W,0,1292
311,366,0.15,W,0,1297
312,367,0.15,W,0,1302
313,368,0.15,W,0,1307
314,369,0.15,Y,0,1317
315,370,0.15,Y,0,1312
316,371,0.15,W,0,1314
317,372,0.15,W,0,1317
318,373,0.15,W,0,1323
319,374,0.15,W,0,1327
320,375,0.15,W,0,1343
321,376,0.15,W,0,1340
322,377,0.15,W,0,1333
323,378,0.15,W,0,1335
324,383,0.15,W,0,1356
325,384,0.15,W,0,1359
326,385,0.15,W,0,1356
327,386,0.15,W,0,1360
328,387,0.15,Y,0,1368
329,388,0.15,Y,0,1363
330,389,0.15,W,0,1365
331,390,0.15,W,0,1368
332,391,0.15,W,0,1373
333,392,0.15,W,0,1378
334,393,0.15,Y,0,1393
335,394,0.15,Y,0,1382
336,395,0.15,W,0,1383
337,396,0.15,W,0,1387
338,397,0.15,W,0,1393
339,398,0.15,W,0,1398
340,399,0.15,Y,0,1407
341,400,0.15,Y,0,1402
342,401,0.15,W,0,1403
343,402,0.15,W,0,1407
344,403,0.15,W,0,1413
345,404,0.15,W,0,1417
346,405,0.15,W,0,1443
347,406,0.15,W,0,1440
348,407,0.15,W,0,1423
349,408,0.15,W,0,1427
350,413,0.15,W,0,2691
351,414,0.15,W,0,2695
352,415,0.15,W,0,2692
353,416,0.15,W,0,2695
354,417,0.15,Y,0,1467
355,418,0.15,Y,0,3921
356,419,0.15,W,0,3922
357,420,0.15,W,0,3923
358,421,0.15,W,0,1467
359,422,0.15,W,0,1469
360,423,0.15,Y,0,3937
361,424,0.15,Y,0,3939
362,425,0.15,W,0,2338
363,426,0.15,W,0,2340
364,427,0.15,W,0,3937
365,428,0.15,W,0,3939
366,429,0.15,W,0,3948
367,430,0.15,W,0,3950
368,431,0.15,W,0,2338
369,432,0.15,W,0,2340
370,433,0.15,Y,0,1483
371,434,0.15,Y,0,1480
372,435,0.15,W,0,1480
373,436,0.15,W,0,1482
374,437,0.15,W,0,1487
375,438,0.15,W,0,1489
376,439,0.15,W,0,1509
377,440,0.15,W,0,1543
378,441,0.15,W,0,1500
379,442,0.15,W,0,1534
380,443,0.15,W,0,1495
381,444,0.15,W,0,1500
382,445,0.15,W,0,1505
383,446,0.15,W,0,1509
384,447,0.15,W,0,1534
385,448,0.15,W,0,1539
386,449,0.15,W,0,1544
387,450,0.15,W,0,1549
388,451,0.15,W,0,2530
389,452,0.15,W,0,2527
390,453,0.15,W,0,2528
391,454,0.15,W,0,2531
392,457,0.15,W,0,1553
393,458,0.15,W,0,1556
394,459,0.15,W,0,1581
395,460,0.15,W,0,1586
396,463,0.15,W,0,2423
397,464,0.15,W,0,1615
398,465,0.15,W,0,3930
399,469,0.15,W,0,802
400,470,0.15,W,0,799
401,471,0.15,W,0,1652
402,472,0.15,W,0,3885
403,473,0.15,W,0,3883
404,480,0.15,W,0,1661
405,481,0.15,W,0,1664
406,482,0.15,W,0,1667
407,483,0.15,W,0,1608
408,484,0.15,W,0,1679
409,485,0.15,W,0,1709
410,486,0.15,W,0,1673
411,487,0.15,W,0,1702
