LID,BPID,FPID,BLID,FLID
128,10466,10467,227,876
129,10468,10469,59,878
130,10470,10471,0,879
131,10472,10473,119,0
132,10474,10475,209,133
133,10476,10477,132,134
134,10478,10479,133,135
135,10480,10481,134,882
136,10482,10483,215,137
137,10484,10485,136,884
138,10486,10487,155,139
139,10488,10489,138,140
140,10490,10491,139,141
141,10492,10493,140,886
142,10494,10495,191,143
143,10496,10497,142,888
144,10498,10499,117,145
145,10500,10501,144,146
146,10502,10503,145,147
147,10504,10505,146,890
148,10506,10507,153,149
149,10508,10509,148,892
150,10510,10511,143,151
151,10512,10513,150,152
152,10514,10515,151,153
153,10516,10517,152,894
154,10518,10519,147,155
155,10520,10521,154,896
156,10522,10523,94,157
157,10524,10525,156,158
158,10526,10527,157,159
159,10528,10529,158,898
160,10530,10531,96,161
161,10532,10533,160,900
162,10534,10535,0,163
163,10536,10537,162,164
164,10538,10539,163,165
165,10540,10541,164,901
166,10542,10543,68,167
167,10544,10545,166,0
168,10546,10547,0,169
169,10548,10549,168,170
170,10550,10551,169,171
171,10552,10553,170,0
172,10554,10555,0,173
173,10556,10557,172,0
174,10558,10559,225,175
175,10560,10561,174,176
176,10562,10563,175,177
177,10564,10565,176,904
178,10566,10567,183,179
179,10568,10569,178,906
180,10570,10571,0,181
181,10572,10573,180,182
182,10574,10575,181,183
183,10576,10577,182,907
184,10578,10579,177,185
185,10580,10581,184,0
186,10582,10583,141,187
187,10584,10585,186,188
188,10586,10587,187,189
189,10588,10589,188,910
190,10590,10591,213,191
191,10592,10593,190,912
192,10594,10595,113,193
193,10596,10597,192,194
194,10598,10599,193,195
195,10600,10601,194,914
196,10602,10603,201,197
197,10604,10605,196,916
198,10606,10607,207,199
199,10608,10609,198,200
200,10610,10611,199,201
201,10612,10613,200,918
202,10614,10615,195,203
203,10616,10617,202,920
204,10618,10619,137,205
205,10620,10621,204,206
206,10622,10623,205,207
207,10624,10625,206,922
208,10626,10627,203,209
209,10628,10629,208,924
210,10630,10631,135,211
211,10632,10633,210,212
212,10634,10635,211,213
213,10636,10637,212,926
214,10638,10639,189,215
215,10640,10641,214,928
216,10642,10643,123,217
217,10644,10645,216,218
218,10646,10647,217,219
219,10648,10649,218,930
220,10650,10651,54,221
221,10652,10653,220,932
222,10654,10655,129,223
223,10656,10657,222,224
224,10658,10659,223,225
225,10660,10661,224,934
226,10662,10663,179,227
227,10664,10665,226,936
228,10666,10667,0,0
229,10668,10669,0,0
230,10670,10671,0,0
231,10672,10673,0,0
232,10674,10675,0,0
233,10676,10677,0,0
234,10678,10679,0,0
235,10680,10681,0,0
236,10682,10683,0,0
237,10684,10685,0,0
238,10686,10687,0,0
239,10688,10689,0,0
240,10690,10691,0,0
241,10692,10693,0,0
242,10694,10695,0,0
243,10696,10697,0,0
244,10698,10699,0,0
245,10700,10701,0,0
246,10702,10703,0,0
247,10704,10705,0,0
248,10706,10707,0,0
249,10708,10709,0,0
250,10710,10711,0,0
251,10712,10713,0,0
252,10714,10715,0,937
253,10716,10717,387,0
254,10718,10719,272,940
255,10720,10721,261,942
256,10722,10723,385,0
257,10724,10725,0,944
258,10726,10727,369,946
259,10728,10729,321,948
260,10730,10731,254,0
261,10732,10733,0,950
262,10734,10735,292,952
263,10736,10737,361,954
264,10738,10739,327,956
265,10740,10741,277,958
266,10742,10743,282,0
267,10744,10745,0,960
268,10746,10747,302,962
269,10748,10749,397,964
270,10750,10751,351,966
271,10752,10753,343,968
272,10754,10755,363,970
273,10756,10757,255,972
274,10758,10759,290,974
275,10760,10761,317,976
276,10762,10763,264,978
277,10764,10765,285,980
278,10766,10767,0,0
279,10768,10769,0,0
280,10770,10771,316,982
281,10772,10773,319,984
282,10774,10775,286,986
283,10776,10777,267,988
284,10778,10779,276,990
285,10780,10781,373,992
286,10782,10783,417,994
287,10784,10785,283,996
288,10786,10787,0,997
289,10788,10789,333,0
290,10790,10791,339,1000
291,10792,10793,275,1002
292,10794,10795,0,1003
293,10796,10797,263,0
294,10798,10799,312,0
295,10800,10801,0,1006
296,10802,10803,308,0
297,10804,10805,0,1008
298,10806,10807,0,0
299,10808,10809,0,0
300,10810,10811,310,0
301,10812,10813,0,1010
302,10814,10815,0,1011
303,10816,10817,269,0
304,10818,10819,314,0
305,10820,10821,0,1014
306,10822,10823,0,0
307,10824,10825,0,0
308,10826,10827,0,1015
309,10828,10829,297,0
310,10830,10831,415,1018
311,10832,10833,301,1020
312,10834,10835,0,1021
313,10836,10837,295,0
314,10838,10839,403,1024
315,10840,10841,305,1026
316,10842,10843,274,1028
317,10844,10845,281,1030
318,10846,10847,280,0
319,10848,10849,0,1032
320,10850,10851,258,0
321,10852,10853,0,1034
322,10854,10855,265,323
323,10856,10857,322,324
324,10858,10859,323,325
325,10860,10861,324,0
326,10862,10863,0,327
327,10864,10865,326,1036
328,10866,10867,288,329
329,10868,10869,328,330
330,10870,10871,329,331
331,10872,10873,330,1038
332,10874,10875,427,333
333,10876,10877,332,1040
334,10878,10879,291,335
335,10880,10881,334,336
336,10882,10883,335,337
337,10884,10885,336,0
338,10886,10887,0,339
339,10888,10889,338,1042
340,10890,10891,409,341
341,10892,10893,340,342
342,10894,10895,341,343
343,10896,10897,342,1044
344,10898,10899,270,345
345,10900,10901,344,1046
346,10902,10903,271,347
347,10904,10905,346,348
348,10906,10907,347,349
349,10908,10909,348,1048
350,10910,10911,381,351
351,10912,10913,350,1050
352,10914,10915,0,353
353,10916,10917,352,354
354,10918,10919,353,355
355,10920,10921,354,1051
356,10922,10923,367,357
357,10924,10925,356,0
358,10926,10927,273,359
359,10928,10929,358,360
360,10930,10931,359,361
361,10932,10933,360,1054
362,10934,10935,262,363
363,10936,10937,362,1056
364,10938,10939,259,365
365,10940,10941,364,366
366,10942,10943,365,367
367,10944,10945,366,1058
368,10946,10947,355,369
369,10948,10949,368,1060
370,10950,10951,393,371
371,10952,10953,370,372
372,10954,10955,371,373
373,10956,10957,372,1062
374,10958,10959,284,375
375,10960,10961,374,1064
376,10962,10963,349,377
377,10964,10965,376,378
378,10966,10967,377,379
379,10968,10969,378,0
380,10970,10971,0,381
381,10972,10973,380,1066
382,10974,10975,252,383
383,10976,10977,382,384
384,10978,10979,383,385
385,10980,10981,384,1068
386,10982,10983,257,387
387,10984,10985,386,1070
388,10986,10987,375,389
389,10988,10989,388,390
390,10990,10991,389,391
391,10992,10993,390,1072
392,10994,10995,421,393
393,10996,10997,392,1074
394,10998,10999,405,395
395,11000,11001,394,396
396,11002,11003,395,397
397,11004,11005,396,1076
398,11006,11007,268,399
399,11008,11009,398,1078
400,11010,11011,399,401
401,11012,11013,400,402
402,11014,11015,401,403
403,11016,11017,402,1080
404,11018,11019,315,405
405,11020,11021,404,1082
406,11022,11023,0,407
407,11024,11025,406,408
408,11026,11027,407,409
409,11028,11029,408,1083
410,11030,11031,345,411
411,11032,11033,410,0
412,11034,11035,287,413
413,11036,11037,412,414
414,11038,11039,413,415
415,11040,11041,414,1086
416,11042,11043,311,417
417,11044,11045,416,1088
418,11046,11047,0,419
419,11048,11049,418,420
420,11050,11051,419,421
421,11052,11053,420,1089
422,11054,11055,391,423
423,11056,11057,422,0
424,11058,11059,0,425
425,11060,11061,424,426
426,11062,11063,425,427
427,11064,11065,426,1091
428,11066,11067,331,429
429,11068,11069,428,0
430,11070,11071,0,0
431,11072,11073,0,0
432,11074,11075,0,0
433,11076,11077,0,0
434,11078,11079,0,0
435,11080,11081,0,0
436,11082,11083,0,0
437,11084,11085,0,0
438,11086,11087,0,0
439,11088,11089,0,0
440,11090,11091,0,0
441,11092,11093,0,0
442,11094,11095,0,0
443,11096,11097,0,0
444,11098,11099,0,0
445,11100,11101,0,0
446,11102,11103,0,0
447,11104,11105,0,0
448,11106,11107,0,0
449,11108,11109,0,0
450,11110,11111,0,0
451,11112,11113,0,0
452,11114,11115,0,0
453,11116,11117,0,0
454,11118,11119,0,0
455,11120,11121,0,0
456,11122,11123,0,0
457,11124,11125,0,0
458,11126,11127,0,0
459,11128,11129,0,0
460,11130,11131,0,0
461,11132,11133,0,0
462,11134,11135,0,0
463,11136,11137,0,0
464,11138,11139,0,0
465,11140,11141,0,0
466,11142,11143,0,0
467,11144,11145,0,0
468,11146,11147,0,0
469,11148,11149,0,0
470,11150,11151,0,0
471,11152,11153,0,0
472,11154,11155,0,0
473,11156,11157,0,0
474,11158,11159,0,0
475,11160,11161,0,0
476,11162,11163,0,0
477,11164,11165,0,0
478,11166,11167,0,0
479,11168,11169,0,0
480,11170,11171,0,0
481,11172,11173,0,0
482,11174,11175,0,0
483,11176,11177,0,0
484,11178,11179,0,1093
485,11180,11181,535,0
486,11182,11183,0,0
487,11184,11185,0,0
488,11186,11187,0,1095
489,11188,11189,503,0
490,11190,11191,496,0
491,11192,11193,0,1098
492,11194,11195,0,1099
493,11196,11197,545,0
494,11198,11199,0,0
495,11200,11201,0,0
496,11202,11203,0,1101
497,11204,11205,491,0
498,11206,11207,508,0
499,11208,11209,0,1104
500,11210,11211,0,1105
501,11212,11213,599,0
502,11214,11215,488,0
503,11216,11217,0,1108
504,11218,11219,542,0
505,11220,11221,0,1110
506,11222,11223,0,0
507,11224,11225,0,0
508,11226,11227,0,1111
509,11228,11229,499,0
510,11230,11231,0,1113
511,11232,11233,541,0
512,11234,11235,0,0
513,11236,11237,0,0
514,11238,11239,0,1115
515,11240,11241,525,0
516,11242,11243,0,1117
517,11244,11245,553,0
518,11246,11247,0,1119
519,11248,11249,569,0
520,11250,11251,522,0
521,11252,11253,0,1122
522,11254,11255,0,1123
523,11256,11257,521,0
524,11258,11259,514,0
525,11260,11261,0,1126
526,11262,11263,528,0
527,11264,11265,0,1128
528,11266,11267,0,1129
529,11268,11269,527,0
530,11270,11271,577,0
531,11272,11273,0,1132
532,11274,11275,0,0
533,11276,11277,0,0
534,11278,11279,484,0
535,11280,11281,0,1134
536,11282,11283,0,0
537,11284,11285,0,0
538,11286,11287,0,0
539,11288,11289,0,0
540,11290,11291,510,0
541,11292,11293,0,1136
542,11294,11295,0,1137
543,11296,11297,505,0
544,11298,11299,492,0
545,11300,11301,0,1140
546,11302,11303,0,1141
547,11304,11305,601,0
548,11306,11307,0,0
549,11308,11309,0,0
550,11310,11311,0,1143
551,11312,11313,555,0
552,11314,11315,516,0
553,11316,11317,0,1146
554,11318,11319,550,0
555,11320,11321,0,1148
556,11322,11323,0,1149
557,11324,11325,559,0
558,11326,11327,556,0
559,11328,11329,0,1152
560,11330,11331,571,561
561,11332,11333,560,562
562,11334,11335,561,563
563,11336,11337,562,0
564,11338,11339,0,565
565,11340,11341,564,1154
566,11342,11343,565,567
567,11344,11345,566,568
568,11346,11347,567,569
569,11348,11349,568,1156
570,11350,11351,518,571
571,11352,11353,570,1158
572,11354,11355,531,573
573,11356,11357,572,574
574,11358,11359,573,575
575,11360,11361,574,1160
576,11362,11363,581,577
577,11364,11365,576,1162
578,11366,11367,587,579
579,11368,11369,578,580
580,11370,11371,579,581
581,11372,11373,580,1164
582,11374,11375,575,583
583,11376,11377,582,1166
584,11378,11379,595,585
585,11380,11381,584,586
586,11382,11383,585,587
587,11384,11385,586,1168
588,11386,11387,583,589
589,11388,11389,588,1170
590,11390,11391,589,591
591,11392,11393,590,592
592,11394,11395,591,593
593,11396,11397,592,0
594,11398,11399,0,595
595,11400,11401,594,1172
596,11402,11403,546,597
597,11404,11405,596,598
598,11406,11407,597,599
599,11408,11409,598,1174
600,11410,11411,500,601
601,11412,11413,600,1176
602,11414,11415,0,0
603,11416,11417,0,0
604,11418,11419,0,0
605,11420,11421,0,0
606,11422,11423,0,0
607,11424,11425,0,0
608,11426,11427,0,0
609,11428,11429,0,0
610,11430,11431,0,0
611,11432,11433,0,0
612,11434,11435,0,0
613,11436,11437,0,0
614,11438,11439,0,0
615,11440,11441,0,0
616,11442,11443,0,0
617,11444,11445,0,0
618,11446,11447,0,0
619,11448,11449,0,0
620,11450,11451,0,0
621,11452,11453,0,0
622,11454,11455,0,0
623,11456,11457,0,0
624,11458,11459,0,0
625,11460,11461,0,0
626,11462,11463,0,0
627,11464,11465,0,0
628,11466,11467,0,0
629,11468,11469,0,0
630,11470,11471,0,0
631,11472,11473,0,1177
632,11474,11475,674,0
633,11476,11477,635,0
634,11478,11479,0,1180
635,11480,11481,0,1181
636,11482,11483,634,0
637,11484,11485,639,0
638,11486,11487,0,1184
639,11488,11489,641,1186
640,11490,11491,638,1188
641,11492,11493,643,1190
642,11494,11495,640,1192
643,11496,11497,645,1194
644,11498,11499,642,1196
645,11500,11501,647,1198
646,11502,11503,644,1200
647,11504,11505,732,1202
648,11506,11507,646,1204
649,11508,11509,651,0
650,11510,11511,0,1206
651,11512,11513,653,1208
652,11514,11515,650,1210
653,11516,11517,655,1212
654,11518,11519,652,1214
655,11520,11521,657,1216
656,11522,11523,654,1218
657,11524,11525,659,1220
658,11526,11527,656,1222
659,11528,11529,724,1224
660,11530,11531,658,1226
661,11532,11533,736,1228
662,11534,11535,664,1230
663,11536,11537,661,1232
664,11538,11539,720,1234
665,11540,11541,738,0
666,11542,11543,0,1236
667,11544,11545,669,0
668,11546,11547,0,1238
669,11548,11549,0,1239
670,11550,11551,668,0
671,11552,11553,762,0
672,11554,11555,0,1242
673,11556,11557,631,1244
674,11558,11559,792,1246
675,11560,11561,677,0
676,11562,11563,0,1248
677,11564,11565,0,1249
678,11566,11567,676,0
679,11568,11569,681,0
680,11570,11571,0,1252
681,11572,11573,0,1253
682,11574,11575,680,0
683,11576,11577,0,0
684,11578,11579,0,0
685,11580,11581,768,686
686,11582,11583,685,687
687,11584,11585,686,688
688,11586,11587,687,0
689,11588,11589,0,690
690,11590,11591,689,1256
691,11592,11593,0,692
692,11594,11595,691,693
693,11596,11597,692,694
694,11598,11599,693,1257
695,11600,11601,700,696
696,11602,11603,695,0
697,11604,11605,0,698
698,11606,11607,697,699
699,11608,11609,698,700
700,11610,11611,699,1259
701,11612,11613,694,702
702,11614,11615,701,0
703,11616,11617,714,704
704,11618,11619,703,705
705,11620,11621,704,706
706,11622,11623,705,0
707,11624,11625,0,708
708,11626,11627,707,1262
709,11628,11629,708,710
710,11630,11631,709,711
711,11632,11633,710,712
712,11634,11635,711,0
713,11636,11637,0,714
714,11638,11639,713,1264
715,11640,11641,663,716
716,11642,11643,715,717
717,11644,11645,716,718
718,11646,11647,717,0
719,11648,11649,0,720
720,11650,11651,719,1266
721,11652,11653,0,722
722,11654,11655,721,723
723,11656,11657,722,724
724,11658,11659,723,1267
725,11660,11661,660,726
726,11662,11663,725,0
727,11664,11665,648,728
728,11666,11667,727,729
729,11668,11669,728,730
730,11670,11671,729,0
731,11672,11673,0,732
732,11674,11675,731,1270
733,11676,11677,666,734
734,11678,11679,733,735
735,11680,11681,734,736
736,11682,11683,735,1272
737,11684,11685,662,738
738,11686,11687,737,1274
739,11688,11689,750,740
740,11690,11691,739,741
741,11692,11693,740,742
742,11694,11695,741,0
743,11696,11697,0,744
744,11698,11699,743,1276
745,11700,11701,744,746
746,11702,11703,745,747
747,11704,11705,746,748
748,11706,11707,747,1278
749,11708,11709,756,750
750,11710,11711,749,1280
751,11712,11713,748,752
752,11714,11715,751,753
753,11716,11717,752,754
754,11718,11719,753,1282
755,11720,11721,760,756
756,11722,11723,755,1284
757,11724,11725,672,758
758,11726,11727,757,759
759,11728,11729,758,760
760,11730,11731,759,1286
761,11732,11733,754,762
762,11734,11735,761,1288
763,11736,11737,690,764
764,11738,11739,763,765
765,11740,11741,764,766
766,11742,11743,765,1290
767,11744,11745,772,768
768,11746,11747,767,1292
769,11748,11749,0,770
770,11750,11751,769,771
771,11752,11753,770,772
772,11754,11755,771,1293
773,11756,11757,766,774
774,11758,11759,773,0
775,11760,11761,786,776
776,11762,11763,775,777
777,11764,11765,776,778
778,11766,11767,777,0
779,11768,11769,0,780
780,11770,11771,779,1296
781,11772,11773,780,782
782,11774,11775,781,783
783,11776,11777,782,784
784,11778,11779,783,1298
785,11780,11781,790,786
786,11782,11783,785,1300
787,11784,11785,673,788
788,11786,11787,787,789
789,11788,11789,788,790
790,11790,11791,789,1302
791,11792,11793,784,792
792,11794,11795,791,1304
793,10307,10414,48,102
794,10417,10308,103,49
795,10355,10310,72,50
796,10311,10350,50,70
797,10353,10312,71,51
798,10313,10356,51,73
799,10411,10314,100,52
800,10317,10412,53,101
801,10423,10318,106,54
802,10319,10650,54,220
803,10649,10320,219,55
804,10321,10424,55,107
805,10451,10322,120,56
806,10325,10452,57,121
807,10467,10326,128,58
808,10327,10462,58,126
809,10465,10328,127,59
810,10329,10468,59,129
811,10331,10342,60,66
812,10345,10332,67,61
813,10339,10362,64,76
814,10365,10340,77,65
815,10331,10342,60,66
816,10345,10332,67,61
817,10375,10346,82,68
818,10347,10542,68,166
819,10541,10348,165,69
820,10349,10376,69,83
821,10311,10350,50,70
822,10353,10312,71,51
823,10355,10310,72,50
824,10313,10356,51,73
825,10339,10362,64,76
826,10365,10340,77,65
827,10439,10374,114,82
828,10375,10346,82,68
829,10349,10376,69,83
830,10377,10440,83,115
831,10383,10386,86,88
832,10389,10384,89,87
833,10383,10386,86,88
834,10389,10384,89,87
835,10399,10522,94,156
836,10533,10400,161,95
837,10403,10530,96,160
838,10529,10404,159,97
839,10411,10314,100,52
840,10317,10412,53,101
841,10307,10414,48,102
842,10417,10308,103,49
843,10423,10318,106,54
844,10321,10424,55,107
845,10427,10458,108,124
846,10461,10428,125,109
847,10435,10430,112,110
848,10433,10436,111,113
849,10605,10434,197,112
850,10435,10430,112,110
851,10433,10436,111,113
852,10437,10594,113,192
853,10443,10438,116,114
854,10439,10374,114,82
855,10377,10440,83,115
856,10441,10444,115,117
857,10509,10442,149,116
858,10443,10438,116,114
859,10441,10444,115,117
860,10445,10498,117,144
861,10471,10446,130,118
862,10449,10472,119,131
863,10455,10450,122,120
864,10451,10322,120,56
865,10325,10452,57,121
866,10453,10456,121,123
867,10653,10454,221,122
868,10455,10450,122,120
869,10453,10456,121,123
870,10457,10642,123,216
871,10427,10458,108,124
872,10461,10428,125,109
873,10327,10462,58,126
874,10465,10328,127,59
875,10665,10466,227,128
876,10467,10326,128,58
877,10329,10468,59,129
878,10469,10654,129,222
879,10471,10446,130,118
880,10449,10472,119,131
881,10629,10474,209,132
882,10481,10630,135,210
883,10641,10482,215,136
884,10485,10618,137,204
885,10521,10486,155,138
886,10493,10582,141,186
887,10593,10494,191,142
888,10497,10510,143,150
889,10445,10498,117,144
890,10505,10518,147,154
891,10517,10506,153,148
892,10509,10442,149,116
893,10497,10510,143,150
894,10517,10506,153,148
895,10505,10518,147,154
896,10521,10486,155,138
897,10399,10522,94,156
898,10529,10404,159,97
899,10403,10530,96,160
900,10533,10400,161,95
901,10541,10348,165,69
902,10347,10542,68,166
903,10661,10558,225,174
904,10565,10578,177,184
905,10577,10566,183,178
906,10569,10662,179,226
907,10577,10566,183,178
908,10565,10578,177,184
909,10493,10582,141,186
910,10589,10638,189,214
911,10637,10590,213,190
912,10593,10494,191,142
913,10437,10594,113,192
914,10601,10614,195,202
915,10613,10602,201,196
916,10605,10434,197,112
917,10625,10606,207,198
918,10613,10602,201,196
919,10601,10614,195,202
920,10617,10626,203,208
921,10485,10618,137,204
922,10625,10606,207,198
923,10617,10626,203,208
924,10629,10474,209,132
925,10481,10630,135,210
926,10637,10590,213,190
927,10589,10638,189,214
928,10641,10482,215,136
929,10457,10642,123,216
930,10649,10320,219,55
931,10319,10650,54,220
932,10653,10454,221,122
933,10469,10654,129,222
934,10661,10558,225,174
935,10569,10662,179,226
936,10665,10466,227,128
937,10715,10974,252,382
938,10985,10716,387,253
939,10755,10718,272,254
940,10719,10730,254,260
941,10733,10720,261,255
942,10721,10756,255,273
943,10981,10722,385,256
944,10725,10982,257,386
945,10949,10726,369,258
946,10727,10850,258,320
947,10853,10728,321,259
948,10729,10938,259,364
949,10719,10730,254,260
950,10733,10720,261,255
951,10795,10734,292,262
952,10735,10934,262,362
953,10933,10736,361,263
954,10737,10796,263,293
955,10865,10738,327,264
956,10739,10762,264,276
957,10765,10740,277,265
958,10741,10854,265,322
959,10775,10742,282,266
960,10745,10776,267,283
961,10815,10746,302,268
962,10747,11006,268,398
963,11005,10748,397,269
964,10749,10816,269,303
965,10913,10750,351,270
966,10751,10898,270,344
967,10897,10752,343,271
968,10753,10902,271,346
969,10937,10754,363,272
970,10755,10718,272,254
971,10721,10756,255,273
972,10757,10926,273,358
973,10791,10758,290,274
974,10759,10842,274,316
975,10845,10760,317,275
976,10761,10792,275,291
977,10739,10762,264,276
978,10763,10778,276,284
979,10781,10764,285,277
980,10765,10740,277,265
981,10843,10770,316,280
982,10771,10846,280,318
983,10849,10772,319,281
984,10773,10844,281,317
985,10783,10774,286,282
986,10775,10742,282,266
987,10745,10776,267,283
988,10777,10784,283,287
989,10763,10778,276,284
990,10779,10958,284,374
991,10957,10780,373,285
992,10781,10764,285,277
993,11045,10782,417,286
994,10783,10774,286,282
995,10777,10784,283,287
996,10785,11034,287,412
997,10787,10866,288,328
998,10877,10788,333,289
999,10889,10790,339,290
1000,10791,10758,290,274
1001,10761,10792,275,291
1002,10793,10878,291,334
1003,10795,10734,292,262
1004,10737,10796,263,293
1005,10835,10798,312,294
1006,10801,10836,295,313
1007,10827,10802,308,296
1008,10805,10828,297,309
1009,10831,10810,310,300
1010,10813,10832,301,311
1011,10815,10746,302,268
1012,10749,10816,269,303
1013,10839,10818,314,304
1014,10821,10840,305,315
1015,10827,10802,308,296
1016,10805,10828,297,309
1017,11041,10830,415,310
1018,10831,10810,310,300
1019,10813,10832,301,311
1020,10833,11042,311,416
1021,10835,10798,312,294
1022,10801,10836,295,313
1023,11017,10838,403,314
1024,10839,10818,314,304
1025,10821,10840,305,315
1026,10841,11018,315,404
1027,10759,10842,274,316
1028,10843,10770,316,280
1029,10773,10844,281,317
1030,10845,10760,317,275
1031,10771,10846,280,318
1032,10849,10772,319,281
1033,10727,10850,258,320
1034,10853,10728,321,259
1035,10741,10854,265,322
1036,10865,10738,327,264
1037,10787,10866,288,328
1038,10873,11066,331,428
1039,11065,10874,427,332
1040,10877,10788,333,289
1041,10793,10878,291,334
1042,10889,10790,339,290
1043,11029,10890,409,340
1044,10897,10752,343,271
1045,10751,10898,270,344
1046,10901,11030,345,410
1047,10753,10902,271,346
1048,10909,10962,349,376
1049,10973,10910,381,350
1050,10913,10750,351,270
1051,10921,10946,355,368
1052,10945,10922,367,356
1053,10757,10926,273,358
1054,10933,10736,361,263
1055,10735,10934,262,362
1056,10937,10754,363,272
1057,10729,10938,259,364
1058,10945,10922,367,356
1059,10921,10946,355,368
1060,10949,10726,369,258
1061,10997,10950,393,370
1062,10957,10780,373,285
1063,10779,10958,284,374
1064,10961,10986,375,388
1065,10909,10962,349,376
1066,10973,10910,381,350
1067,10715,10974,252,382
1068,10981,10722,385,256
1069,10725,10982,257,386
1070,10985,10716,387,253
1071,10961,10986,375,388
1072,10993,11054,391,422
1073,11053,10994,421,392
1074,10997,10950,393,370
1075,11021,10998,405,394
1076,11005,10748,397,269
1077,10747,11006,268,398
1078,11009,11010,399,400
1079,11009,11010,399,400
1080,11017,10838,403,314
1081,10841,11018,315,404
1082,11021,10998,405,394
1083,11029,10890,409,340
1084,10901,11030,345,410
1085,10785,11034,287,412
1086,11041,10830,415,310
1087,10833,11042,311,416
1088,11045,10782,417,286
1089,11053,10994,421,392
1090,10993,11054,391,422
1091,11065,10874,427,332
1092,10873,11066,331,428
1093,11179,11278,484,534
1094,11281,11180,535,485
1095,11187,11214,488,502
1096,11217,11188,503,489
1097,11203,11190,496,490
1098,11193,11204,491,497
1099,11195,11298,492,544
1100,11301,11196,545,493
1101,11203,11190,496,490
1102,11193,11204,491,497
1103,11227,11206,508,498
1104,11209,11228,499,509
1105,11211,11410,500,600
1106,11409,11212,599,501
1107,11187,11214,488,502
1108,11217,11188,503,489
1109,11295,11218,542,504
1110,11221,11296,505,543
1111,11227,11206,508,498
1112,11209,11228,499,509
1113,11231,11290,510,540
1114,11293,11232,541,511
1115,11239,11258,514,524
1116,11261,11240,525,515
1117,11243,11314,516,552
1118,11317,11244,553,517
1119,11247,11350,518,570
1120,11349,11248,569,519
1121,11255,11250,522,520
1122,11253,11256,521,523
1123,11255,11250,522,520
1124,11253,11256,521,523
1125,11239,11258,514,524
1126,11261,11240,525,515
1127,11267,11262,528,526
1128,11265,11268,527,529
1129,11267,11262,528,526
1130,11265,11268,527,529
1131,11365,11270,577,530
1132,11273,11354,531,572
1133,11179,11278,484,534
1134,11281,11180,535,485
1135,11231,11290,510,540
1136,11293,11232,541,511
1137,11295,11218,542,504
1138,11221,11296,505,543
1139,11195,11298,492,544
